MMM    3M
FB    Meta (Facebook)
MU    Micron Technology
MSFT  Microsoft
MRNA  Moderna
MONC  Moncler
MDLZ  Mondelez
MS    Morgan Stanley
MUV2  Munich Re
NESN  Nestle 
NFLX  Netflix 
NKE   Nike
NKLA  Nikola
NCLH  Norwegian Cruise Line 
NOVN  Novartis
NVAX  Novavax
NVDA  Nvidia 
ORCL  Oracle 
ORA   Orange 
PG    P&G
PLTR  Palantir 
PGHN  Partners Group
PEP  Pepsico
PFE  Pfizer
PM   Philip Morris 
PHIA Philips
PINS Pinterest 
PLUG Plug Power 
P911 Porsche
PUM  Puma
QCOM Qualcomm 
0    Realty Income
RNO  Renault
CFR  Richemont 
RIO  Rio Tinto 
RIVN Rivian
RBLX Roblox
ROG  Roche
ROKU Roku
RR/  Rolls-Royce 
RWE  RWE
CRM  Salesforce 
SMSN Samsung 
SANO Sanofi
SANT Santander 
SAP  SAP
SCHN Schindler 
SGSN SGS
RDSA Shell
SHOP Shopify
SIE  Siemens
SIKA Sika
SNAP Snapchat 
SNOW Snowflake 
GLE  Societe Generale
SOON Sonova
SNE US 
SGKN   St. Galler Kantonalbank
SRAIL  Stadler Rail 
SBUX   Starbucks 
STLA   Stellantis 
STMN   Straumann 
SUN    Sulzer
UHR    Swatch Group
SLHN   Swiss Life 
SREN   Swiss Re 
SCMN   Swisscom 
SQN    Swissquote 
TTWO   Take Two 
TGT    Target
TTM    TATA Motors
TMV    TeamViewer
TEMN   Temenos 
TSCO   Tesco
TSLA   Tesla
TKA    Thyssenkrupp
TTE    Totalenergies
TM     Toyota
TUI1   Tui
UBER   Uber
UBI    Ubisoft
UBSG   UBS
UAA    Under Armour
ULVR   Unilever 
UPS    UPS
VALE   Vale
VATN   Valiant
VALN   Valora
VACN   VAT Group 
VIE    Veolia
VZ     Verizon
SPCE   Virgin Galactic
VIV  Vivendi
VOD  Vodafone
VOW  Volkswagen
VONN Vontobel
WMT  Walmart
DIS  Walt Disney
WBD  Warner Bros Discovery
WISE Wise
WISH Wish
WWE  World Wrestling Entertainment
WW   WW (Weight Watchers)
YUM  Yum! Brands
ZAL  Zalando
ITX  Zara
ZM   Zoom
ROSE Zur Rose
ZURN Zurich Insurance
ZNGA Zynga
XMKA   African Blue Chips
CSEMAS Asian Emerging Markets
SAUS   Australian Blue Chips
XMBR   Brazilian Blue Chips
CANCDA Canadian Blue Chips
XCHA   Chinese Blue Chips
MSE    European Blue Chips
SPYW   European High Dividend Stocks
CAC    French Blue Chips
XDAX   German Blue Chips
IWDC   Global Blue Chips (CHF)
VWRD   Global Blue Chips (USD)
VHYL   Global High Dividend Stocks
INFR   Global infrastructure
MVSH   Global Minimum volatility Stocks
IWMO   Global Momentum Stocks
ZGLD   Gold
CSMIB  Italian Blue Chips
XNJP   Japanese Blue Chips
AMEL   Latin American Blue Chips
EQQQ   Nasdaq-100 Index
XDNO   Nordics Blue Chips
CSPXJ  Pacific Blue Chips
ZSIL   Silver
XESP   Spanish Blue Chips
CSSMI  Swiss Blue Chips
CHDVD  Swiss High Dividend Stocks
CHSPI  Swiss Performance Index
SRECHA Swiss Real Estate
VUSD   U.S. Blue Chips
XDGU   U.S. Corporate Bonds
XLFS   U.S. Financial
SXLV   U.S. Healthcare
UDVD   U.S. High Dividend Stocks
XLBS   U.S. Materials
SXLK   U.S. Tech
VUKE   UK Blue Chips
